"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S003","30403.jpg",0.809630791840105,0.0807576245519756,0.107843137254902,0.156862745098039,0.92156862745098,102
"S003","30408.jpg",0.804216115541591,0.274960091528022,0.288288288288288,0.441441441441441,0.207207207207207,111
"S003","30620.jpg",0.856791080575751,0.584079226600033,0.679245283018868,0.141509433962264,1,106
"S003","30622.jpg",0.807963756510614,0.447001602020144,0.530434782608696,0.347826086956522,0.965217391304348,115
"S003","31006.jpg",0.928395090166305,0.440293615913086,0.409448818897638,0.267716535433071,0.968503937007874,127
"S003","40207.jpg",0.84167444671015,0.457644631422098,0.142857142857143,0.178571428571429,0.830357142857143,112
"S003","40215.jpg",0.76251451413483,0.0901952589790113,0.09,0,1,100
"S003","40229.jpg",0.76944630111422,0.48356591168685,0.75609756097561,0.170731707317073,0.804878048780488,41
"S003","40303.jpg",0.764875224889705,0.745405814996552,0.517241379310345,0.275862068965517,0.586206896551724,29
"S003","41026.jpg",0.844956439093579,0.574269280863546,0.4,0.44,0.44,25
"S003","51322.jpg",0.836231205645795,0.646103237224388,0.620689655172414,0.137931034482759,0.551724137931034,29
"S004","10130.jpg",0.782312460444379,0.637600739251892,0.664383561643836,0.458904109589041,0.712328767123288,146
"S004","10224.jpg",0.826506011915247,0.131659048559609,0.531746031746032,0.452380952380952,0.380952380952381,126
"S004","10226.jpg",0.848185974577198,0.179401349615366,0.668965517241379,0.448275862068966,0.620689655172414,145
"S004","10229.jpg",0.837295618991701,0.166816846815031,0.86013986013986,0.440559440559441,0.65034965034965,143
"S004","10514.jpg",0.749083538698344,0.186380250946047,0.384615384615385,0.608391608391608,0.503496503496504,143
"S004","10601.jpg",0.798285542701028,0.057387987650217,0.376811594202899,0.326086956521739,0.507246376811594,138
"S004","10609.jpg",0.817039268131237,0.323925778743771,0.354166666666667,0.673611111111111,0.784722222222222,144
"S004","10624.jpg",0.795019177567507,0.618942685600356,0.417910447761194,0.328358208955224,0.865671641791045,134
"S004","10632.jpg",0.871787513832867,0.227294545671913,0.270833333333333,0.75,0.520833333333333,144
"S004","10648.jpg",0.814427247673472,0.0857108185961012,0.439716312056738,0.773049645390071,0.446808510638298,141
"S004","11014.jpg",0.892176403172046,0.1898347085053,0.391608391608392,0.664335664335664,0.426573426573427,143
"S004","11016.jpg",0.85389330449202,0.275924718047859,0.452054794520548,0.842465753424658,0.595890410958904,146
"S004","11026.jpg",0.706406462788575,0.145719322955594,0.243055555555556,0.826388888888889,0.659722222222222,144
"S004","11122.jpg",0.778456360314662,0.287611620375661,0.613793103448276,0.76551724137931,0.282758620689655,145
"S004","11126.jpg",0.821497227453342,0.147269823092646,0.678321678321678,0.727272727272727,0.657342657342657,143
"S004","11127.jpg",0.923287855712548,0.190909584642579,0.652777777777778,0.722222222222222,0.395833333333333,144
